source,target
1979,3105338
1212,3105338
1051,3105338
3594,3105113
2591,3105113
1741,3105113
1212,3105113
51449,3105098
46589,3105098
3594,3105098
2591,3105098
1741,3105098
1275,3105098
1212,3105098
51449,3104073
15477,3104073
13726,3104073
1255,3104073
1242,3104073
1212,3104073
538,3104073
508,3104073
8619,3199484
2868,3199484
2865,3199484
1503,3199484
1275,3199484
1212,3199484
2003,3103573
1663,3103573
1457,3103573
1275,3103573
46589,3102493
13799,3102493
1741,3102493
1212,3102493
538,3102493
508,3102493
2868,3199504
2007,3199504
1255,3199504
1212,3199504
3495,3101398
1990,3101398
1979,3101398
1663,3101398
1275,3101398
1212,3101398
9965,3101393
1990,3101393
1979,3101393
1663,3101393
1212,3101393
538,3101393
508,3101393
2221,3101363
1663,3101363
1467,3101363
1457,3101363
1242,3101363
538,3101363
508,3101363
1979,3100998
1663,3100998
1457,3100998
1212,3100998
538,3100998
1663,3121508
1275,3121508
508,3121508
51952,3099353
50744,3099353
2591,3099353
1751,3099353
1503,3099353
1212,3099353
508,3099353
51449,3097923
22476,3097923
19121,3097923
1663,3097923
1503,3097923
1212,3097923
1663,3097603
1089,3097603
538,3097603
529,3097603
435,3097603
3594,3096893
2591,3096893
1741,3096893
1212,3096893
538,3096893
2868,3096508
2865,3096508
1979,3096508
1275,3096508
1255,3096508
1212,3096508
538,3096508
34221,3096248
8619,3096248
2868,3096248
1275,3096248
1255,3096248
1212,3096248
538,3096248
46589,3096218
2868,3096218
1212,3096218
538,3096218
51449,3096183
9965,3096183
3594,3096183
1741,3096183
1503,3096183
1212,3096183
538,3096183
2868,3199514
2185,3199514
1632,3199514
1544,3199514
1503,3199514
1212,3199514
1990,3095148
1503,3095148
1275,3095148
1212,3095148
538,3095148
51449,3093773
15477,3093773
13726,3093773
1663,3093773
1255,3093773
1242,3093773
1220,3093773
1212,3093773
538,3093773
508,3093773
51449,3093358
13799,3093358
1741,3093358
1212,3093358
538,3093358
508,3093358
51449,3092308
4334,3092308
1990,3092308
1979,3092308
1663,3092308
1503,3092308
1212,3092308
538,3092308
2008,3094828
1663,3094828
1457,3094828
1275,3094828
508,3094828
435,3094828
1990,3091613
1663,3091613
1503,3091613
1212,3091613
538,3091613
359,3091613
34221,3091313
19121,3091313
9965,3091313
2836,3091313
2221,3091313
1990,3091313
1212,3091313
538,3091313
505,3091313
2868,3199529
1275,3199529
1212,3199529
538,3199529
25566,3094378
3476,3094378
2831,3094378
1979,3094378
1663,3094378
1220,3094378
1212,3094378
538,3094378
51952,3090558
50744,3090558
19121,3090558
3594,3090558
1751,3090558
1741,3090558
1663,3090558
1212,3090558
508,3090558
51449,3090533
13799,3090533
9965,3090533
2836,3090533
2221,3090533
1741,3090533
1503,3090533
1212,3090533
538,3090533
508,3090533
51449,3089458
22476,3089458
13679,3089458
9965,3089458
9677,3089458
3594,3089458
1990,3089458
1741,3089458
1503,3089458
1275,3089458
1212,3089458
402,3089458
15477,3153319
4145,3153319
1990,3153319
1457,3153319
1275,3153319
508,3153319
378,3153319
3594,3087828
2591,3087828
1741,3087828
1212,3087828
1990,3086783
1503,3086783
1212,3086783
508,3086783
2868,3086278
1275,3086278
1212,3086278
1663,3085938
1457,3085938
1275,3085938
402,3085938
2865,3085498
1990,3085498
1503,3085498
1212,3085498
538,3085498
508,3085498
1979,3088933
1275,3088933
1212,3088933
538,3088933
508,3088933
9965,3085403
1275,3085403
508,3085403
359,3085403
13799,3083578
1741,3083578
1212,3083578
538,3083578
508,3083578
9965,3083163
2221,3083163
2007,3083163
1990,3083163
1663,3083163
1503,3083163
1467,3083163
1275,3083163
1212,3083163
538,3083163
12196,3083073
1979,3083073
1275,3083073
1212,3083073
538,3083073
51449,3083033
9677,3083033
2868,3083033
1275,3083033
1255,3083033
1212,3083033
9677,3082988
2868,3082988
1255,3082988
1212,3082988
9965,3082633
2221,3082633
1990,3082633
1503,3082633
1212,3082633
538,3082633
2868,3199539
1212,3199539
51952,3082223
50744,3082223
9965,3082223
1751,3082223
1741,3082223
1663,3082223
1457,3082223
1212,3082223
538,3082223
436,3082223
2221,3082208
1503,3082208
1212,3082208
538,3082208
50048,3081623
8619,3081623
2868,3081623
1979,3081623
1741,3081623
1663,3081623
1275,3081623
1212,3081623
1051,3081623
1025,3081623
633,3081623
538,3081623
508,3081623
50516,3081478
42909,3081478
2926,3081478
1741,3081478
1212,3081478
50516,3081473
42909,3081473
2926,3081473
1741,3081473
1212,3081473
508,3081473
