source,target
49088,3060749
19121,3060749
3594,3060749
1741,3060749
1212,3060749
51952,3060359
51449,3060359
1990,3060359
1751,3060359
1663,3060359
1212,3060359
538,3060359
378,3060359
46589,3059868
1242,3059868
942,3059868
508,3059868
13799,3059598
1741,3059598
1212,3059598
538,3059598
508,3059598
2221,3059063
2007,3059063
1663,3059063
1503,3059063
1275,3059063
1212,3059063
538,3059063
3594,3058138
1741,3058138
1212,3058138
538,3058138
529,3058108
3594,3057543
1990,3057543
1503,3057543
1212,3057543
538,3057543
359,3057543
52287,3057153
1503,3057153
1275,3057153
1212,3057153
629,3057153
51449,3056898
1663,3056898
1503,3056898
1275,3056898
1212,3056898
538,3056898
508,3056898
51449,3056168
9965,3056168
2904,3056168
1457,3056168
1275,3056168
538,3056168
508,3056168
435,3056168
359,3056168
34221,3055988
1993,3055988
1989,3055988
1212,3055988
51952,3055428
19121,3055428
9965,3055428
1751,3055428
1212,3055428
538,3055428
508,3055428
378,3055428
1503,3055038
1275,3055038
1212,3055038
538,3055038
508,3055038
19121,3054323
2831,3054323
1741,3054323
1663,3054323
1503,3054323
1457,3054323
1255,3054323
1212,3054323
538,3054323
508,3054323
435,3054323
51449,3054118
9965,3054118
2904,3054118
1457,3054118
1275,3054118
538,3054118
508,3054118
435,3054118
359,3054118
3594,3053978
1741,3053978
1663,3053978
1212,3053978
51449,3053853
3594,3053853
1741,3053853
1663,3053853
1212,3053853
508,3053853
378,3053853
13799,3053788
1741,3053788
1212,3053788
1025,3053788
538,3053788
508,3053788
1663,3052568
1503,3052568
1275,3052568
1212,3052568
538,3052568
508,3052568
359,3052568
1457,3051743
1275,3051743
1255,3051558
538,3051558
378,3051558
51449,3051138
2591,3051138
1212,3051138
508,3051138
3594,3050693
1741,3050693
1212,3050693
1025,3050693
435,3050693
50516,3050438
49088,3050438
19121,3050438
13726,3050438
9965,3050438
8131,3050438
3594,3050438
2865,3050438
1990,3050438
1979,3050438
1741,3050438
1503,3050438
1275,3050438
1212,3050438
1169,3050438
538,3050438
508,3050438
359,3050438
319,3050438
19121,3049953
1979,3049953
1663,3049953
1457,3049953
1212,3049953
402,3049953
1663,3049478
1503,3049478
1212,3049478
538,3049478
51145,3049473
34221,3049473
3594,3049473
2865,3049473
1663,3049473
1503,3049473
1457,3049473
1212,3049473
1070,3049473
538,3049473
3594,3049268
1741,3049268
1212,3049268
51185,3049253
13799,3049253
1741,3049253
1212,3049253
1005,3049253
508,3049253
51449,3049133
2904,3049133
508,3049133
22126,3049128
13726,3049128
2926,3049128
2915,3049128
2866,3049128
2865,3049128
2181,3049128
2007,3049128
1517,3049128
1457,3049128
1255,3049128
1242,3049128
508,3049128
378,3049128
51952,3049098
51449,3049098
1751,3049098
1663,3049098
538,3049098
508,3049098
378,3049098
2591,3049083
1979,3049083
1212,3049083
538,3049083
4329,3048948
4304,3048948
538,3048948
508,3048948
1663,3047423
1503,3047423
1212,3047423
538,3047423
19121,3046928
3594,3046928
1741,3046928
1212,3046928
529,3046913
51449,3046813
51185,3046813
19121,3046813
1663,3046813
1503,3046813
1275,3046813
1212,3046813
1005,3046813
538,3046813
378,3046813
51449,3046713
1741,3046713
1663,3046713
1503,3046713
1293,3046713
3594,3044838
1741,3044838
1212,3044838
508,3044838
378,3044838
1663,3044063
1467,3044063
1242,3044063
1212,3044063
1663,3043583
1212,3043583
1070,3043583
2008,3042868
1741,3042868
1663,3042868
1503,3042868
1255,3042868
1212,3042868
508,3042868
52287,3042863
51449,3042863
19121,3042863
1751,3042863
1741,3042863
1503,3042863
1212,3042863
620,3042863
538,3042863
508,3042863
19121,3042668
9417,3042668
1663,3042668
51185,3042008
13799,3042008
1741,3042008
1212,3042008
1005,3042008
508,3042008
3594,3041773
1741,3041773
1632,3041773
1544,3041773
1212,3041773
538,3041773
378,3041773
51449,3041418
2591,3041418
1663,3041418
1212,3041418
508,3041418
34221,3040883
9965,3040883
1741,3040883
1663,3040883
1503,3040883
1400,3040883
1275,3040883
1212,3040883
538,3040883
508,3040883
1663,3040663
1503,3040663
1212,3040663
2008,3040493
1663,3040493
1275,3040493
359,3040493
1979,3073268
1212,3073268
538,3073268
3594,3038908
1741,3038908
1212,3038908
538,3038908
51449,3038888
19121,3038888
9965,3038888
1741,3038888
1663,3038888
1503,3038888
1212,3038888
538,3038888
508,3038888
13799,3038708
2052,3038708
1998,3038708
1741,3038708
1663,3038708
1212,3038708
508,3038708
435,3038708
1663,3038578
1503,3038578
1212,3038578
538,3038578
13799,3038418
3594,3038418
1741,3038418
1663,3038418
1212,3038418
508,3038418
