source,target
19121,3038358
3594,3038358
2008,3038358
1741,3038358
1663,3038358
1503,3038358
1231,3038358
1212,3038358
538,3038358
508,3038358
34221,3037298
9965,3037298
1741,3037298
1663,3037298
1503,3037298
1467,3037298
1275,3037298
1212,3037298
538,3037298
508,3037298
529,3036238
9965,3036183
1663,3036183
1242,3036183
508,3036183
9965,3032613
1663,3032613
1212,3032613
538,3032613
508,3032613
505,3032613
9965,3031758
9417,3031758
1663,3031758
1503,3031758
620,3031758
508,3031758
9965,3028633
1212,3028633
538,3028633
505,3028633
1663,3028628
1212,3028628
538,3028628
20241,3027803
9965,3027803
1979,3027803
1741,3027803
1663,3027803
1503,3027803
1212,3027803
538,3027803
508,3027803
